placename,oc_lat,oc_lng,oc_formatted
"København, Hans Egedes Kirke",55.7077938,12.586988,"Hans Egedes Kirke, Vardegade, 2150 Nordhavn, Denmark"
Lidemark Kirke,55.4369587,12.054648,"Lidemark Kirke, Lidemarksvej, 4632 Bjæverskov, Denmark"
Lindknud Kirke,55.5645887,9.0204488,"Lindknud Kirke, Okslundvej, Lindknud, Denmark"
Lønne Kirke,55.7893756,8.2388091,"Lønne Kirke, Vesterhavsvej, 6830 Nørre, Denmark"
Låstrup Kirke,56.5785523,9.3829447,"Låstrup Kirke, Låstrupvej, 8832 Skals, Denmark"
Magleby Kirke,54.9842912,12.484253,"Magleby Kirke, Klintevej, 4791 Borre, Denmark"
Magleby Kirke,54.9842912,12.484253,"Magleby Kirke, Klintevej, 4791 Borre, Denmark"
Melby Kirke,55.9956413,11.9691407,"Melby Kirke, Tollerupvej, 3370 Melby, Denmark"
Mesing Kirke,56.0756931,9.9390922,"Mesing Kirke, Præstevejen, 8660 Skanderborg, Denmark"
Nordby Kirke,55.951451,10.5465318,"Nordby Kirke, Møgelskårvejen, Samsø Municipality, Denmark"
Nærum Kirke,55.821424,12.5363405,"Nærum Kirke, Kirkeåsen, 2850 Nærum, Denmark"
"Næstved, Sct. Mortens Kirke",NA,NA,NA
Nørhå Kirke,56.8993416,8.4455738,"Nørhå Kirke, Morten Nielsens Vej, Thisted Municipality, Denmark"
Nørlem Kirke,56.5545762,8.3240592,"Nørlem Kirke, Kabbelvej, 7620 Lemvig, Denmark"
Nørre Gørding Kirke,56.3385816,8.3032909,"Nørre Gørding Kirke, Fjordvejen, 7570 Vemb, Denmark"
Nørre Kirkeby Kirke,54.8778194,11.8637799,"Nørre Kirkeby Kirke, Nørre Kirkebyvej, 4840 Nørre, Denmark"
Nørresundby Kirke,57.0607495,9.9196736,"Nørresundby Kirke, Sankt Peders Gade, 9400 Nørresundby, Denmark"
"Odense, Ansgars Kirke",55.3914241,10.3781291,"Ansgars Kirke, Søndre Boulevard, 5000 Odense C, Denmark"
"Odense, Bolbro Kirke",55.3930995,10.3515183,"Bolbro Kirke, Roesskovsvej, 5200 Odense V, Denmark"
"Odense, Fredens Kirke",55.4134496,10.3952595,"Fredens Kirke, Skibhusvej, 5000 Odense C, Denmark"
"Odense, Hans Tausens Kirke",55.3985243,10.3633843,"Hans Tausens Kirke, Langesøstien, 5000 Odense C, Denmark"
Ørum Kirke,55.7388409,9.7448411,"Ørum Kirke, Kirkebuen, 8721 Daugård, Denmark"
"Odense, Thomas Kingos Kirke",55.3854765,10.3874704,"Thomas Kingos Kirke, Bülowsvej, 5230 Odense M, Denmark"
"Odense, Vollsmose Kirke",55.4072762,10.4421141,"Vollsmose Kirke, Egeparken, 5240 Odense NØ, Denmark"
"Odense, Vor Frelsers Kirke",55.3959282,10.4230111,"Vor Frelsers Kirke, Ejbygade, 5230 Odense M, Denmark"
Outrup Kirke,55.7228823,8.3424107,"Outrup Kirke, Birkegade, 6855 Outrup, Denmark"
Radsted Kirke,54.7899203,11.6885004,"Radsted Kirke, Østerbyvej, 4990 Sakskøbing, Denmark"
Ramløse Kirke,56.0159611,12.1116782,"Ramløse Kirke, Frederiksværkvej, 3220 Tisvildeleje, Denmark"
Rudkøbing Kirke,54.9368614,10.7095528,"Rudkøbing Kirke, Kirkepladsen, 5900 Rudkøbing, Denmark"
Rødding Kirke,56.5008664,9.5036204,"Rødding Kirke, Enghavevej, Rødding, Denmark"
Røsnæs Kirke,55.7326182,10.9601507,"Røsnæs Kirke, Røsnæsvej, Ulstrup, Denmark"
Sall Kirke,56.2787637,9.8250359,"Sall Kirke, Borgergade, 8881 Thorsø, Denmark"
Sejerø Kirke,55.88182,11.1431104,"Sejerø Kirke, Sejerbyvej, 4592 Sejerø, Denmark"
Serridslev Kirke,55.8988713,9.8948064,"Serridslev Kirke, Serridslevvej, Horsens, Denmark"
Skagen Kirke,57.7214333,10.5847255,"Skagen Church, Ved Kirken, 9990 Skagen, Denmark"
Skivum Kirke,56.8656589,9.5893113,"Skivum Kirke, Skivumvej, Skivum, Denmark"
Skærum Kirke,57.4256255,10.3536278,"Skærum Kirke, Slustrupvej, Frederikshavn Municipality, Denmark"
Snoldelev Kirke,55.5711298,12.1318122,"Snoldelev Kirke, Snoldelev Bygade, 4621 Gadstrup, Denmark"
Strelluf Kirke,NA,NA,NA
Sæby Kirke,57.3331953,10.5287049,"Sankt Mariæ Kirke, Strandgade, 9300 Sæby, Denmark"
Søborg Kirke,56.0863037,12.317685,"Søborg Kirke, Bygaden, 3250 Gilleleje, Denmark"
Søby Kirke,54.9385696,10.2568185,"Søby Kirke, Langebro, 5985 Søby, Denmark"
Sønder Vilstrup Kirke,55.5546835,9.5491989,"Sønder Vilstrup Kirke, Hulskovvej, Kolding, Denmark"
"Sønderborg, Sct. Marie Kirke",NA,NA,NA
Thorsø Kirke,56.2997572,9.7954022,"Thorsø Kirke, Grøndalslundvej, 8881 Thorsø, Denmark"
Tilsted Kirke,56.9478907,8.6427208,"Tilsted Kirke, Vuskærvej, 7700 Thisted, Denmark"
