constructionyear;locality;organbuilder;architect;stopsnumber;manualsnumber;pedals
1998;Nørre Alslev Kirke ;Marcussen & Søn;Rolf Graae.;15;2;Pedal
1999;Nørre Lyndelse Kirke ;Anders Havgaard Rasmussen;Orgelbyggeren.;12;2;Pedal
1983;Nørre Nissum Kirke ;P. Bruhn & Søn;;16;2;Pedal
1999;Odense, Sct. Knuds Kirke;Carsten Lund;Ebbe Lehn Petersen.;20;3;Pedal
2000;Roskilde, Sct. Jørgensbjerg Kirke ;P.G. Andersen & Bruhn;Se noter.;22;3;Pedal
1949;Rønnebæk Kirke ;Th. Frobenius & Co;;6;1;Pedal
1972;Sahl Kirke ;Th. Frobenius & Sønner;> Poul Hansen og Ib Lydholm. [Danmarks Kirker].;7;1;Pedal
1979;Selsø Kirke ;Th. Frobenius & Sønner;;8;1;Pedal
1965;Skellebjerg Kirke ;Brdr. Bruhn;;10;2;Pedal
1973;Spentrup Kirke ;Jydsk Orgelbyggeri;;14;2;Pedal
1975;Søvind Kirke ;Th. Frobenius & Sønner;;6;1;Pedal
1998;Tulstrup Kirke ;P.G. Andersen & Bruhn;Jørn Schütze.;11;2;Pedal
1982;Tvis Kirke ;Th. Frobenius & Sønner;;13;2;Pedal
1961;Vandborg Kirke ;Marcussen & Søn;K. Hansen-Møller, Holstebro [Se noter].;7;1;Pedal
1969;Vester Hjermitslev Kirke ;Jydsk Orgelbyggeri;;5;1;Pedal
1999;Vester Kirke ;Bruno Christensen & Sønner;Gert Madsen [meddelt af Bruno Christensen & Sønner 2000].;6;1;Pedal
1982;Vigsø Kirke ;Bruno Christensen & Sønner;;5;1;Pedal
1999;Viskum Kirke ;P.G. Andersen & Bruhn;;6;1;Pedal
1998;Voldum Kirke ;Th. Frobenius & Sønner;Vilhelmsen, Marxen og Bech-Jensen.;14;2;Pedal
1998;Ødsted Kirke ;Bruno Christensen & Sønner;Kuno Mielby. [Iflg. meddelelse fra orgelbyggeriet].;10;2;Pedal
1969;Ørsted Kirke ;Th. Frobenius & Sønner;;7;1;Pedal
1891;Øster Egesborg Kirke ;A.H. Busch & Sønner;;5;1;(Intet Pedal)
1999;Øster Hassing Kirke ;Bruno Christensen & Sønner;Arkitektfirma Brøgger.;14;2;Pedal
1895 (?);Allerslev Kirke ;Frederik Nielsen;;4;1;(Intet Pedal)
1974;Alslev Kirke ;Bruno Christensen & Sønner;1996: Grønne, Thorup og Jessen. [Iflg. medd. fra orgelbyggeriet 1997].;11;2;Pedal
1958;Arnborg Kirke ;Th. Frobenius & Sønner;;4;1;(Intet Pedal)
1973;Østerby Kirke ;Th. Frobenius & Sønner;;10;2;Pedal
1862;Bogense Kirke ;Marcussen & Søn;;21;2;Pedal
1967;Bording Kirke ;Marcussen & Søn;;8;2;Pedal
1969;Brøndum Kirke ;Th. Frobenius & Sønner;Rolf Graae og Richard Aas.;14;2;Pedal
1998;Byrum Kirke ;Th. Frobenius & Sønner;;14;2;Pedal
1998;Børglum Kirke ;Jensen & Thomsen;Orgelbyggeriet.;12;2;Pedal
1975;Døstrup Kirke ;Bruno Christensen & Sønner;Se Orglet 2022,1 s. 42.;6;1;Pedal
1967;Daugård Kirke ;Th. Frobenius & Sønner;"Orgelbyggeriet. Standardtype ""Gunslev"". [Iflg. medd. fra orgelbyggeriet 1993].";7;1;Pedal
1860 (?);Diernæs Kirke ;Demant & Søn;;7;1;Pedal
1988;Esbjerg, Grundtvigs Kirke ;Bruno Christensen & Sønner;> Richard Larsen [iflg. medd. fra orgelbyggeriet].;34;3;Pedal
1998;Fanefjord Kirke ;Th. Frobenius & Sønner;;14;2;Pedal
1971;Fiskbæk Kirke ;Jydsk Orgelbyggeri;.;6;1;Pedal
1846;Fredensborg Slotskirke ;Marcussen & Reuter;;17;2;Pedal
1974;Frederikshavn Kirke ;Marcussen & Søn;Leopold Teschl.;39;3;Pedal
1997;Gauerslund Kirke ;Marcussen & Søn;> Birch & Svenning.;20;2;Pedal
1977;Gedsted Kirke ;Bruno Christensen & Sønner;;6;1;Pedal
1970;Gislev Kirke ;Marcussen & Søn;;13;2;Pedal
1988;Gjern Kirke ;Marcussen & Søn;;11;2;Pedal
1875;Græse Kirke ;Knud Olsen;;5;1;(Intet Pedal)
1952;Gudum Kirke ;Marcussen & Søn;;11;1;Pedal
1997;Haldum Kirke ;Th. Frobenius & Sønner;Vilhelmsen, Marxen og Bech-Jensen.;17;2;Pedal
1969;Hansted Kirke ;Th. Frobenius & Sønner;;7;1;Pedal
1977;Harndrup Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen. [Iflg. Orglet 1978,1, s. 52].;8;1;Pedal
1989;Helgenæs Kirke ;Marcussen & Søn;Mogens Svenning.;8;1;Pedal
1997;Helligsø Kirke ;Bruno Christensen & Sønner;Gert Madsen.;11;2;Pedal
1972;Hem Kirke ;Jydsk Orgelbyggeri;1972: Vinther & Roldsgaard. 1996: Vilhelmsen, Marxen og Bech-Jensen.;5;1;Pedal
1983;Herlufsholm Kirke ;Th. Frobenius & Sønner;Preben Thorsen [Se noter];32;3;Pedal
1997;Hirtshals, Emmersbæk Kirke ;Bruno Christensen & Sønner;Friis & Moltke.;12;2;Pedal
1986;Hjerpsted Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal
1957;Holstebro Kirke ;Th. Frobenius & Co;Mogens Koch.;45;4;Pedal
1974;Hornbæk Kirke ;P. Bruhn & Søn;;11;2;Pedal
1997;Humlebæk Kirke ;Carsten Lund;Orgelbyggeriet.;24;3;Pedal
1997;Hundborg Kirke ;Th. Frobenius & Sønner;Arkitekterne, Thisted.;12;2;Pedal
1997;Hurup Kirke ;Bruno Christensen & Sønner;Poul Brøgger.;22;2;Pedal
1997;Højst Kirke ;P.G. Andersen & Bruhn;;13;2;Pedal
1963;Hørmested Kirke ;Jydsk Orgelbyggeri;;5;1;Anhangspedal
1997;Karlslunde Kirke ;Jensen & Thomsen;Rolf Graae.;22;2;Pedal
1869;Kerteminde Valgmenighedskirke ;J.A. Demant;1869: ?. 1927-1928: Knud Lehn Petersen. [Iflg. medd. fra tegnestuen].;7;1;Pedal
1851;Krønge Kirke ;Jens Gregersen;;5;1;(Intet Pedal)
1984;København, Hans Egedes Kirke;Gunnar Fabricius Husted;;22;2;Pedal
1870;Lidemark Kirke ;Knud Olsen;;6;1;(Intet Pedal)
1997;Lindknud Kirke ;P.G. Andersen & Bruhn;;11;2;Pedal
1982;Lønne Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal
1975;Låstrup Kirke ;Jydsk Orgelbyggeri;Edv. Thomsen.;5;1;Pedal
1970;Magleby Kirke ;Th. Frobenius & Sønner;;10;2;Pedal
1876;Magleby Kirke ;J.A. Demant;;5;1;Anhangspedal
1979;Melby Kirke ;Gunnar Fabricius Husted;Jørn Blinkenberg Willadsen.;15;2;Pedal
1999;Mesing Kirke ;Marcussen & Søn;Birch & Svenning.;6;1;Pedal
1844;Nordby Kirke ;Marcussen & Reuter;;12;1;Pedal
1998;Nærum Kirke ;P.G. Andersen & Bruhn;CUBO arkitekter v/ Lars Thiis.;27;3;Pedal
1850 (?);Næstved, Sct. Mortens Kirke;Frederik Hoffmann Ramus;;4;1;(Intet Pedal)
1948;Nørhå Kirke ;Th. Frobenius & Co;;5;1;(Intet Pedal)
1989;Nørlem Kirke ;Bruno Christensen & Sønner;;10;2;Pedal
1957;Nørre Gørding Kirke ;Th. Frobenius & Co;> Søren Jensen. [Se noter].;6;1;Pedal
1996;Nørre Kirkeby Kirke ;Gunnar Fabricius Husted;;7;1;Pedal
1970;Nørresundby Kirke ;I. Starup & Søn;Preben Thorsen.;24;2;Pedal
1972;Odense, Ansgars Kirke ;Marcussen & Søn;Knud, Erik og Ebbe Lehn Petersen. [Iflg. meddelelse fra arkitektfirmaet].;29;3;Pedal
1963;Odense, Bolbro Kirke ;Marcussen & Søn;Erik og Ebbe Lehn Petersen. [Iflg. meddelelse fra arkitektfirmaet]. ;16;2;Pedal
1958;Odense, Fredens Kirke ;Marcussen & Søn;Esben Klint.;29;3;Pedal
1954;Odense, Hans Tausens Kirke ;Marcussen & Søn;Erik Lehn Petersen. [Iflg. medd. fra tegnestuen].;13;2;Pedal
1965;Ørum Kirke ;Marcussen & Søn;1965: Ebbe og Erik Lehn Petersen [Iflg. kirkeblad fra Odense, Munkebjerg Kirke 1965]. 2003: Ebbe Marxen. [Iflg. meddelelse 2004 fra Th. Frobenius & Sønner].;18;2;Pedal
1953;Odense, Thomas Kingos Kirke ;Marcussen & Søn;1925: Vilhelm Petersen. 1953: Axel Jacobsen.;34;3;Pedal
1975;Odense, Vollsmose Kirke ;Marcussen & Søn;Arkitektfirma Stærmose. (Kirkens arkitekt). [Iflg. medd. fra orgelbyggeriet].;21;2;Pedal
1965;Odense, Vor Frelsers Kirke ;I. Starup & Søn;Knud, Erik og Ebbe Lehn Petersen. [Iflg. medd. fra tegnestuen]. (Arkitekt 2001: Ebbe Lehn Petersen [iflg. medd. fra orgelbyggeriet]).;17;2;Pedal
1989;Outrup Kirke ;Bruno Christensen & Sønner;Arkitekterne, Thisted.;7;1;Pedal
1997;Radsted Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen.;12;2;Pedal
1972;Ramløse Kirke ;Th. Frobenius & Sønner;;11;2;Pedal
1979;Rudkøbing Kirke ;Fyns Orgelbyggeri;;19;2;Pedal
1996;Rødding Kirke ;Marcussen & Søn;Arkitektfirma Brøgger. [Iflg. medd. fra orgelbyggeriet 1997].;6;1;Pedal
1974;Røsnæs Kirke ;Conrad Christiansen;;6;1;Pedal
1893;Sall Kirke ;Frederik Nielsen;;4;1;(Intet Pedal)
1966;Sejerø Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;Jan Gehl.;5;1;(Intet Pedal)
1972;Serridslev Kirke ;Bruno Christensen;;7;1;Pedal
1962;Skagen Kirke ;Marcussen & Søn;;31;3;Pedal
1977;Skivum Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal
1965;Skærum Kirke ;Th. Frobenius & Co;;6;1;Pedal
1977;Snoldelev Kirke ;Gunnar Fabricius Husted;Orgelbyggeriet.;11;2;Pedal
1972;Strelluf Kirke ;Th. Frobenius & Sønner;;5;1;(Intet Pedal)
1981;Sæby Kirke ;P. Bruhn & Søn;;4;1;Anhangspedal
1969;Søborg Kirke ;Th. Frobenius & Sønner;;24;2;Pedal
1953;Søby Kirke ;Th. Frobenius & Co;;7;1;Pedal
