constructionyear;locality;organbuilder;architect;stopsnumber;manualsnumber;pedals
1992;Vindinge Kirke ;Jensen & Thomsen;1968: Holger Jensen [iflg. meddelelse fra Jensen & Thomsen 1993]. 1992: Orgelbyggeriet. [Iflg. meddelelse fra orgelbyggeriet 1993].;12;2;Pedal
1997;Virklund Kirke ;Th. Frobenius & Sønner;Arkitekter: Inger & Johannes Exner. [Iflg. medd. fra kirken november 1994].;12;2;Pedal
1898;Vivild Kirke ;Knud Olsen;;15;2;Pedal
1961;Voer Kirke ;I. Starup & Søn;;4;1;Anhangspedal
1974;Voerladegård Kirke ;Jydsk Orgelbyggeri;Hans Winther.;7;1;Pedal
1969;Vokslev Kirke ;Th. Frobenius & Sønner;;6;1;Pedal
1990;Vorbasse Kirke ;P. Bruhn & Søn;;12;2;Pedal
1946;Vråby Kirke ;Th. Frobenius & Co;Mogens Koch.;6;1;Anhangspedal
1999;Ølby Kirke ;Gunnar Fabricius Husted;Inger & Johannes Exner.;19;2;Pedal
1980;Ølsted Kirke ;Gunnar Fabricius Husted;;11;2;Pedal
1963;Ørum Kirke ;Th. Frobenius & Co;Leopold Teschl [Christensen 2018].;5;1;Pedal
1960;Øster Brønderslev Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal
1869;Øster Hæsinge Kirke ;J.A. Demant;;6;1;Pedal
1969;Øster Snede Kirke ;Th. Frobenius & Sønner;;8;1;Pedal
1977;Aalborg, Ansgars Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;46;3;Pedal
1929;Aalborg, Ansgars Kirke;Th. Frobenius & Co;;27;2;Pedal
1959;Aalborg, Budolfi Kirke ;Th. Frobenius & Co;> Leopold Teschl (rygpositiv 1959 - fjernet 2008). > Facaderestaurering 1959: Restaurering og nystaffering ved kirkemaler, konservator Johs. Th. Madsen. > Leif Høeg (nyt rygpositiv 2008) [Orglet 2009,1, s. 49].;43;3;Pedal
1928;Aarhus Domkirke ;Th. Frobenius & Co;;98;4;Pedal
1979;Aarhus, Sct. Johannes Kirke ;Marcussen & Søn;;36;3;Pedal
1967;Aarhus, Sct. Markus Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;41;3;Pedal
1981;Åstrup Kirke ;Bruno Christensen & Sønner;;10;2;Pedal
1994;Åstrup Kirke ;Marcussen & Søn;Rolf Graae. ;15;2;Pedal
1970;Agerø Kirke ;Bruno Christensen;;4;1;(Intet Pedal)
1968;Ajdt Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal
1973;Allerup Kirke ;Bruno Christensen;> Ebbe Lehn Petersen [Se noter].;7;1;Pedal
1964;Allindemagle Kirke ;I. Starup & Søn;;7;2;Pedal
1983;Almind Kirke ;Th. Frobenius & Sønner;Bent Theilgaard [Se noter].;7;1;Pedal
1979;Als Kirke ;Marcussen & Søn;;15;2;Pedal
1992;Anholt Kirke ;Marcussen & Søn;Sv. Aage Kirkegaard.;7;1;Pedal
1993;Ans Kirke ;Marcussen & Søn;Rolf Graae.;15;2;Pedal
1981;Arrild Kirke ;Marcussen & Søn;;6;1;Pedal
1964;Assens Kirke ;Marcussen & Søn;Arkitekt: Poul-Gerhard Andersen. [Iflg. folder om kirken (bilag)].;35;3;Pedal
1994;Astrup Kirke ;P. Bruhn & Søn;;18;2;Pedal
1992;Avlum Kirke ;Marcussen & Søn;Arkitekterne, Thisted. [Ifølge meddelelse fra orgelbyggeriet 1993].;18;2;Pedal
1970;Ballerup Kirke ;P. Bruhn;Poul-Gerhard Andersen [jf. Dansk Orgelaarbog 1987-1989, s. 15].;17;2;Pedal
1972;Barrit Kirke ;Th. Frobenius & Sønner;Inger og Johannes Exner [Se noter].;6;1;Pedal
1994;Bedsted Kirke ;Marcussen & Søn;"""Arkitekterne, Thisted"" [Iflg. medd. fra orgelbyggeriet 1995]. Ib Lydholm.";12;2;Pedal
1993;Blåhøj Kirke ;Th. Frobenius & Sønner;Hans Vinther i samarbejde med orgelbyggeriet. Se noter.;8;2;Pedal
1954;Bov Kirke ;Marcussen & Søn;;14;2;Pedal
1964;Brande Kirke ;Jydsk Orgelbyggeri;Edv. Thomsen.;4;1;Anhangspedal
1877;Roholte Kirke ;J.A. Demant;;13;2;Pedal
1968;Nimtofte Kirke ;Marcussen & Søn;;14;2;Pedal
1967;Bregninge Kirke ;Frederiksborg Orgelbyggeri;N.M. Nielsen.;17;2;Pedal
1941;Bregninge Kirke ;Marcussen & Søn;> Poul-Gerhard Andersen. Dekorationer: Erik Pedersen. [Se noter]. ;14;2;Pedal
1952;Brenderup Kirke ;Th. Frobenius & Co;;11;2;Pedal
1974;Bryrup Kirke ;Bruno Christensen & Sønner;Preben Thorsen.;13;1;Pedal
1984;Brøndby Strand Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;35;3;Pedal
1972;Brønderslev Kirke ;Th. Frobenius & Sønner;Leopold Teschl.;33;3;Pedal
1955;Brørup Kirke ;Th. Frobenius & Co;Rud. Gram.;6;1;Pedal
1986;Darum Kirke ;Anders Havgaard Rasmussen;;11;2;Pedal
1989;Dejbjerg Kirke ;Marcussen & Søn;Vilhelmsen & Kristensen [Se noter].;7;1;Pedal
1983;Egebjerg Kirke ;Gunnar Fabricius Husted;Rolf Graae.;13;2;Pedal
1973;Ejstrup Kirke ;Th. Frobenius & Sønner;Aage Kristensen og Bent Meyer. [Se noter].;7;1;Pedal
1992;Engestofte Kirke ;P. Bruhn & Søn;;7;1;Pedal
1968;Engum Kirke ;Th. Frobenius & Co;;13;2;Pedal
1993;Everdrup Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;10;2;Pedal
1963;Reerslev Kirke ;Th. Frobenius & Co;;10;2;Pedal
1957;Fjeldsø Kirke ;Jydsk Orgelbyggeri;Leopold Teschl.;5;1;Anhangspedal
1960;Flejsborg Kirke ;Jydsk Orgelbyggeri;;4;1;Anhangspedal
1988;Foldby Kirke ;Jydsk Orgelbyggeri;> Niels Brams [iflg. meddelelse fra orgelbyggeriet].;15;2;Pedal
1987;Folding Kirke ;Bruno Christensen & Sønner;Alan Havsteen Mikkelsen [iflg. medd. fra orgelbyggeriet 1988].;14;2;Pedal
1960;Fraugde Kirke ;Th. Frobenius & Co;;10;2;Pedal
1984;Fruering Kirke ;Th. Frobenius & Sønner;Inger & Johannes Exner.;14;2;Pedal
1993;Fræer Kirke ;Marcussen & Søn;> Arkitektfirma Brøgger, Gistrup. [Iflg. medd. fra orgelbyggeriet 1994].;10;2;Pedal
1969;Fuglebjerg Kirke ;Frederiksborg Orgelbyggeri;> Søren Lotz.;7;1;Pedal
1966;Føvling Kirke ;Th. Frobenius & Co;Rolf Graae og Sv.Aa. Aakjær i samarbejde med orgelbyggeriet.;7;1;Pedal
1962;Fårevejle Kirke ;Th. Frobenius & Sønner;Georg Palludan. [Se noter].;10;2;Pedal
1976;Gentofte Kirke ;Th. Frobenius & Sønner;> Marinus Andersen.;35;3;Pedal
1993;Gerding Kirke ;Bruno Christensen & Sønner;> Orgelbyggeren [Meddelt 1994 af orgelbyggeriet].;4;1;(Intet Pedal)
1938;Gislinge Kirke ;Marcussen & Søn;> Antagelig orgelbyggeriet [Se noter].;7;1;Pedal
1936;Gjesing Kirke ;Th. Frobenius & Co;;6;1;Anhangspedal
1985;Gjesing Kirke ;P. Bruhn & Søn;Niels Munk (kirkens arkitekt), iflg. medd. fra orgelbyggeriet. Projekttegning gengivet i annonce i Orglet 1984,1, s.13.;20;2;Pedal
1984;Gladsaxe Kirke ;Jensen & Thomsen;;30;3;Pedal
1969;Glim Kirke ;Jensen & Thomsen;;5;1;Pedal
1974;Gludsted Kirke ;Th. Frobenius & Sønner;;4;1;(Intet Pedal)
1990;Gosmer Kirke ;Bruno Christensen & Sønner;Rolf Graae og Bent Meyer [iflg. medd. fra orgelbyggeriet 1991].;12;2;Pedal
1878 (?);Granslev Kirke ;J.A. Demant;;4;1;(Intet Pedal)
1968;Gredstedbro Kirke ;Marcussen & Søn;;5;1;Pedal
1839;Hjarnø Kirke ;Marcussen & Reuter;;4;1;Anhangspedal
1963;Grindsted Kirke ;Frederiksborg Orgelbyggeri;;34;3;Pedal
1973;Grædstrup Kirke ;Jydsk Orgelbyggeri;Edv. Thomsen.;6;1;Pedal
1974 (?);Græshave Kirke ;Povl Gerhard Due;Orgelbyggeren.;10;2;Pedal
1861;Gudum Kirke ;Jens Gregersen;;11;2;Pedal
1941;Gørding Kirke ;Marcussen & Søn;Orgelbyggeriet [Se noter];12;2;Pedal
1820;Haderslev Domkirke;Jürgen Marcussen;;17;2;Pedal
1951;Haderslev Domkirke ;Marcussen & Søn;;73;4;Pedal
1986;Hagested Kirke ;Finn Krohn;;12;2;Pedal
1978;Haslev Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;Orgelbyggeren. [Næstved Tidende 20. marts 1978].;36;3;Pedal
1971;Haurvig Kirke ;Th. Frobenius & Sønner;;5;1;Pedal
1950;Hellerup Kirke ;Marcussen & Søn;Kai Rasmussen [Ebert 2000];33;3;Pedal
1840;Hellested Kirke ;Marcussen & Reuter;;8;1;Pedal
1947;Trængstrup Frimenighedskirke ;Frederiksborg Orgelbyggeri;;5;1;(Intet Pedal)
1843;Helsingør, Kronborg Slotskirke ;Marcussen & Reuter;;20;2;Pedal
1864;København, Esajas Kirke;Daniel Köhne;;4;1;(Intet Pedal)
1976;Hjallerup Kirke ;Frederiksborg Orgelbyggeri;;8;2;Pedal
1920 (?);Hjardemål Klitkirke ;N.Chr. Christensen;;3;1;(Intet Pedal)
1979;Hjerm Kirke ;Th. Frobenius & Sønner;Orgelbyggeriet [Se noter];14;2;Pedal
1993;Hjermind Kirke ;Jensen & Thomsen;;6;1;Pedal
1994;Hjerting Kirke ;Carsten Lund;Alan Havsteen Mikkelsen [se noter].;31;3;Pedal
1995;Hobro Kirke ;Bruno Christensen & Sønner;Arkitektfirma Brøgger, Fjellerad. [Iflg. medd. fra orgelbyggeriet februar 1995]. Ældre facade genanvendt [se nedenfor].;37;2;Pedal
1963;Hodsager Kirke ;Th. Frobenius & Co;1963: Søren Jensen. 2003: Vilhelmsen, Marxen og Bech-Jensen.;6;1;Pedal
1987;Holmsland, Nysogn Kirke ;Th. Frobenius & Sønner;;8;1;Pedal
1982;Holsted Kirke ;Bruno Christensen & Sønner;;10;2;Pedal
1971;Holsted, Sct. Peders Kirke ;Th. Frobenius & Sønner;> Ole Nielsen (i samarbejde med orgelbyggeriet).;18;3;Pedal
1972;Hoptrup Kirke ;Marcussen & Søn;;15;2;Pedal
1948;Hostrup Kirke ;Th. Frobenius & Co;;8;1;Pedal
1970;Hovborg Kirke ;Marcussen & Søn;;11;2;Pedal
1968;Hover Kirke ;Th. Frobenius & Sønner;1968: [Ikke oplyst]. 1994: Arkitekterne, Thisted, v/Ib Lydholm.;8;1;Pedal
1952;Hunderup Kirke ;Th. Frobenius & Co;Fin Ditlevsen.;7;1;Pedal
1963;Hundslund Kirke ;Th. Frobenius & Co;1963: [Ikke oplyst]. 1994: Jørn Schütze K/S. [Iflg. medd. fra orgelbyggeriet 9. marts 1995].;11;2;Pedal
1981;Hune Kirke ;Gunnar Fabricius Husted;Rolf Graae.;13;2;Pedal
1992;Hvedstrup Kirke ;Albert E. Lang;Rolf Graae.;10;2;Pedal
1975;Hvidbjerg Kirke ;Jydsk Orgelbyggeri;Arkitekter: Poul Hansen & Ib Lydholm, Thisted.;9;2;Pedal
1858;Hvidovre Kirke ;Daniel Köhne;;16;2;Pedal
1974;Højby Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;12;2;Pedal
1972;Højelse Kirke ;Bruno Christensen;;11;2;Pedal
1959;Hørve Kirke ;Th. Frobenius & Co;Arkitektonisk rådgiver 1993: Rolf Graae.;11;2;Pedal
1970;Høve Valgmenighedskirke ;Th. Frobenius & Sønner;;4;1;(Intet Pedal)
1994;Ikast, Fonnesbæk Kirke ;Bruno Christensen & Sønner;Krohn & Hartvig Rasmussen, Virum. [Iflg. medd. fra orgelbyggeriet februar 1995].;18;2;Pedal
1975;Indslev Kirke ;Bruno Christensen & Sønner;> Ebbe Lehn Petersen.;7;1;Pedal
1881;Dråby Kirke ;A.H. Busch & Sønner;;16;2;Pedal
1971;Islev Kirke ;Th. Frobenius & Sønner;Inger og Johannes Exner (1971 og 2015) [Meddelelse fra orgelbyggeriet 2016].;30;3;Pedal
1972;Jernved Kirke ;Vestre's Orgel- & Pianofabrikk;;7;2;Pedal
1992;Jorløse Kirke ;Svend E. Nielsen;;6;1;Pedal
1980;Jyderup Kirke ;Marcussen & Søn;> Orgelbyggeriet v/ Jes P. Asmussen.;13;2;Pedal
1972;Jyllinge Kirke ;Frederiksborg Orgelbyggeri;;7;2;Pedal
1944;Jægersborg Kirke ;Marcussen & Søn;> Poul-Gerhard Andersen. [Meddelt af denne 1977]. > Træskærerarbejder: Erik Pedersen. [Villabyernes Blad 07-12-1944]. > Pibedekorationer: Victor Stensgaard. [Villabyernes Blad 07-12-1944].;25;3;Pedal
1991;Kirke Sonnerup Kirke ;Gunnar Fabricius Husted;;11;2;Pedal
1964;Karlebo Kirke ;Frederiksborg Orgelbyggeri;Rolf Graae.;8;1;Pedal
1965;Karup Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal
1985;Kerte Kirke ;P. Bruhn & Søn;;12;2;Pedal
1938;Kerteminde Kirke ;Marcussen & Søn;Harald Lønborg-Jensen. [Jfr. Hviid o. 1937]. Billedskærer og maler: Erik Petersen. [Jfr. Hviid o. 1937].;31;3;Pedal
1949;Klitmøller Kirke ;I. Starup & Søn;;8;2;Pedal
1964;Klovborg Kirke ;Jydsk Orgelbyggeri;Edvard Thomsen.;5;1;Pedal
1977;Kolding, Sct. Nicolai Kirke ;Marcussen & Søn;Rolf Graae (forestod den samtidige kirkerstaurering).;57;4;Pedal
1993;Kolind Kirke ;Bruno Christensen & Sønner;Tegnestuen v/ Gert Madsen, i samarbejde med orgelbyggeriet [medd. af orgelbyggeriet 1994].;10;2;Pedal
1998;Komdrup Kirke ;P.G. Andersen & Bruhn;.;7;2;Pedal
1952;Krarup Kirke ;Th. Frobenius & Co;Fin Ditlevsen [Se noter]..;7;1;Pedal
1904;Kregme Kirke ;I. Starup;> Gert Ingemann (2001). [Meddelt af G.F. Husted].;22;2;Pedal
1968;Kullerup Kirke ;I. Starup & Søn;;7;1;Pedal
1901;København, Brorsons Kirke;A.H. Busch & Sønner;Thorvald Jørgensen. [Kirkens arkitekt. Det er ikke dokumenteret at T.J. har tegnet facaden].;16;2;Pedal
1975;København, Brønshøj Kirke;Th. Frobenius & Sønner;;20;2;Pedal
1976;København, Christians Kirke;Poul-Gerhard Andersen's Orgelbyggeri;;33;2;Pedal
1979;København, Davids Kirke;Marcussen & Søn;Erik Møller.;22;2;Pedal
1994;København, Frederiksberg Slotskirke;Carsten Lund;Johannes Tidemand-Dal (1934) / Carsten Lund's Orgelbyggeri (1994). Billedskærer: Alfred Frederiksen (1934). ;13;2;Pedal
1965;København, Grundtvigs Kirke;Marcussen & Søn;Esben Klint.;59;4;Pedal
1940;København, Grundtvigs Kirke;Marcussen & Søn;Kaare Klint.;14;2;Pedal
1987;København, Hans Tausens Kirke;Marcussen & Søn;;24;2;Pedal
1956;København, Holmens Kirke;Marcussen & Søn;;50;3;Pedal
1992;København, Johannes Døbers Kirke;Jensen & Thomsen;> Peter Brogaard i samarbejde med orgelbyggeriet [Ifølge meddelelse fra orgelbyggeriet 1993].;23;2;Pedal
1968;København, Kapernaums Kirke;Frederiksborg Orgelbyggeri;1994: Peter Brogård. [Iflg. Organistbladet 1994, s. 574].;19;3;Pedal
1975;København, Sct. Johannes Kirke;Poul-Gerhard Andersen's Orgelbyggeri;Poul-Gerhard Andersen;53;4;Pedal
1880;København, Sct. Matthæus Kirke;A.H. Busch & Sønner;L. Fenger? (kirkens arktekt).;42;3;Pedal
1938;København, Sct. Pauls Kirke;I. Starup & Søn;;42;3;Pedal
1938;København, Sct. Petri Kirke;Wilhelm Sauer;Thorvald Jørgensen. [Se noter].;42;3;Pedal
1964;København, Simeons Kirke;I. Starup & Søn;Thomas Havning.;26;3;Pedal
1986;København, Store Magleby Kirke ;Jensen & Thomsen;;26;3;Pedal
1948;København, Vanløse Kirke;Th. Frobenius & Sønner;;22;2;Pedal
1894;Allinge Kirke;A.H. Busch & Sønner;;6;1;Anhangspedal
1962;Allinge Kirke ;Th. Frobenius & Co;> Marinus Andersen.;12;2;Pedal
1993;Asminderød Kirke ;Gunnar Fabricius Husted;"Tegnestuen ""Møllen"" v/ Gert Ingemann [iflg. medd. fra orgelbyggeriet 1994].";30;2;Pedal
1970;Biersted Kirke ;Jydsk Orgelbyggeri;;10;2;Pedal
1963;Birkerød Kirke ;Frederiksborg Orgelbyggeri;Rolf Graae.;26;3;Pedal
1977;Brædstrup Kirke ;Th. Frobenius & Sønner;Rolf Graae.;12;2;Pedal
1991;Dalby Kirke ;Marcussen & Søn;> Mogens Svenning [iflg. indberetning fra orgelbyggeriet 1992].;17;2;Pedal
1991;Dåstrup Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;Orgelbyggeriet (Jens Chr. Varming var arkitekt for kirkerestaureringen, men tegnede ikke orglet). [Iflg. medd. fra orgelbyggeriet 18. november 1992].;11;2;Pedal
1963;Ebeltoft Kirke ;Marcussen & Søn;;22;2;Pedal
1950;Esbjerg, Zions Kirke ;Frederiksborg Orgelbyggeri;;41;3;Pedal
1926;Estruplund Kirke ;A.C. Zachariasen;;6;1;Pedal
1991;Flade Kirke ;Bruno Christensen & Sønner;Arkitektgruppen Limfjorden, Nykøbing Mors [iflg. indberetning fra orgelbyggeriet 1992].;8;2;Pedal
1979;Faaborg Kirke ;Frederiksborg Orgelbyggeri;Rolf Graae & Erling Jessen.;35;3;Pedal
1986;Gesten Kirke ;Marcussen & Søn;Jakob Mortensen i samarbejde med orgelbyggeriet. [Medd. 24. juni 1992 af Marcussen & Søn].;10;2;Pedal
1956;Ginnerup Kirke ;Jydsk Orgelbyggeri;;4;1;(Intet Pedal)
1966;Gladsaxe, Stengård Kirke ;Th. Frobenius & Co;Rolf Graae og Vilh. Wohlert.;19;2;Pedal
1963;Guldbjerg Kirke ;Th. Frobenius & Co;;5;1;(Intet Pedal)
1901;Hald Kirke ;A.H. Busch & Sønner;;6;1;(Intet Pedal)
1991;Havdrup Kirke ;Marcussen & Søn;Keld Wohlert [iflg. indberetning fra orgelbyggeriet 1992].;12;2;Pedal
1910;Herlufmagle Kirke ;I. Starup;;7;1;Pedal
1967;Holbæk Kirke ;Th. Frobenius & Sønner;Rolf Graae.;41;3;Pedal
1965;Hvidbjerg Kirke ;Frederiksborg Orgelbyggeri;> Rolf Graae.;21;2;Pedal
1955;Hvilsager Kirke ;Th. Frobenius & Co;;7;1;Pedal
1987;Klarup Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;5;1;Pedal
1991;Krummerup Kirke ;Svend E. Nielsen;Preben Thorsen [iflg. indberetning fra orgelbyggeriet 1992].;8;1;Pedal
1968;København, Frederiksholm Kirke;Frederiksborg Orgelbyggeri;;16;2;Pedal
1904;København, Nazaret Kirke;I. Starup;;18;2;Pedal
1988;København, Sct. Thomas Kirke;Poul-Gerhard Andersen's Orgelbyggeri;;24;2;Pedal
1990;Lille Værløse Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;26;2;Pedal
1858 (?);Nykøbing Falster Kirke;Frederik Hoffmann Ramus;;4;1;(Intet Pedal)
1991;Odense, Gråbrødre Klosterkirke ;Marcussen & Søn;Ebbe Lehn Petersen. [Iflg. meddelelse fra arkitektfirmaet].;17;2;Pedal
1991;Roskilde Domkirke ;Marcussen & Søn;;33;3;Pedal
1857;Lillebrænde Kirke ;Demant & Søn;;3;1;(Intet Pedal)
1991;Seden Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen [Se noter];11;2;Pedal
1992;Sennels Kirke ;Carsten Lund;Arkitekterne, Thisted. [Ifølge meddelelse fra orgelbyggeriet 1993].;10;2;Pedal
1991;Simmelkær Kirke ;Marcussen & Søn;Arkitekterne, Thisted [iflg. indberetning fra orgelbyggeriet 1992].;10;2;Pedal
1965;Skanderup Kirke ;Marcussen & Søn;J.K. Jepsen [iflg. Danmarks Kirker].;10;2;Pedal
1991;Skjød Kirke ;Bruno Christensen & Sønner;Vilhelmsen, Marxen & Bech-Jensen A/S [iflg. indberetning fra orgelbyggeriet 1992].;10;2;Pedal
1990;Smerup Kirke ;Jensen & Thomsen;;4;1;Anhangspedal
1966;Snejbjerg Kirke ;Th. Frobenius & Co;;12;2;Pedal
1991;Svostrup Kirke ;Th. Frobenius & Sønner;Bent Meyer.;8;2;Pedal
1991;Tilst Kirke ;Marcussen & Søn;Th. Bang Termansen [iflg. indberetning fra orgelbyggeriet 1992].;16;2;Pedal
1991;Timring Kirke ;Th. Frobenius & Sønner;Vilhelmsen, Marxen & Bech-Jensen, Aarhus.;8;1;Pedal
1946;Nørager Kirke ;Th. Frobenius & Co;;7;1;Pedal
1942;Vallekilde Valgmenighedskirke ;Marcussen & Søn;;7;1;Pedal
1990;Vejrup Kirke ;Anders Havgaard Rasmussen;Orgelbyggeren [Se noter].;11;2;Pedal
1949;Vester Broby Kirke ;Th. Frobenius & Co;Helge Holm.;7;1;Pedal
1964;Vrejlev Kirke ;Th. Frobenius & Co;;17;2;Pedal
1991;Øls Kirke ;Bruno Christensen & Sønner;Bent Maltha, Arden.;9;2;Pedal
1970;Øster Vandet Kirke ;Th. Frobenius & Sønner;;5;1;Pedal
1991;Ågerup Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;8;1;Pedal
1969;Ågård Frimenighedskirke ;Vestre's Orgel- & Pianofabrikk;;6;1;Pedal
1973;Aalborg, Sct. Markus Kirke ;Frederiksborg Orgelbyggeri;Troels Krohn i samarbejde med E. Packness [se noter].;44;4;Pedal
1991;Åle Kirke ;Th. Frobenius & Sønner;;12;2;Pedal
1945;Aarhus, Brabrand Kirke ;Marcussen & Søn;Genanvendt facade: fra 1925, tegnet af H. Lønborg-Jensen [Danmarks Kirker]. Arkitektfirma ved udvidelsen 1992: Friis og Moltke. [Iflg. meddelelse fra orgelbyggeriet 1993].;31;3;Pedal
1962;Aarhus, Vor Frue Kirke ;Frederiksborg Orgelbyggeri;Aksel Skov i samarbejde med Troels Krohn.;50;4;Pedal
1972;Års Kirke ;Bruno Christensen;;18;2;Pedal
1992;As Kirke ;Bruno Christensen & Sønner;Hector Estrup (1929). [Se noter].;10;2;Pedal
1992;Askø Kirke ;Albert E. Lang;Orgelbyggeren.;6;1;Pedal
1988;Badskær Kirke ;Bruno Christensen & Sønner;Karl Karsson (jfr. avisudklip).;9;2;Pedal
1992;Bejsnap Kirke ;Bruno Christensen & Sønner;> Skovbo's Tegnestue v/ Hans Skovbo [iflg. medd. fra orgelbyggeriet 1993].;6;1;Pedal
1971;Bjergby Kirke ;Th. Frobenius & Sønner;;14;2;Pedal
1992;Feldballe Kirke ;Bruno Christensen & Sønner;Tegnestuen v/ Gert Madsen, Hadsten [medd. af orgelbyggeriet 1993].;8;2;Pedal
1992;Fuglsbølle Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen.;6;1;Pedal
1992;Gerrild Kirke ;Th. Frobenius & Sønner;> Vilhelmsen, Marxen og Bech Jensen.;8;1;Pedal
1991;Grene Kirke ;P. Bruhn & Søn;Vilhelmsen, Marxen & Bech-Jensen.;13;2;Pedal
1946;Grønbæk Kirke ;Marcussen & Søn;> Muligvis orgelbyggeriet i samarbejde med billedskærer Ejnar Jørgensen. se note.;9;1;Pedal
1992;Gudbjerg Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen's Tegnestue [medd. af orgelbyggeriet 1993].;13;2;Pedal
1975;Havnelev Kirke ;Th. Frobenius & Sønner;;8;1;Pedal
1992;Havrebjerg Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;12;2;Pedal
1969;Helsingør, Sct. Olai Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;Rolf Graae i samarbejde med orgelbyggeriet. [Se noter].;53;3;Pedal
1992;Herfølge Kirke ;Marcussen & Søn;Rolf Graae (NB: ældre facade). [Ifølge meddelelse fra orgelbyggeriet 1993].;23;2;Pedal
1969;Herning, Fredens Kirke ;Marcussen & Søn;Aksel Skov [jfr. avisudklip].;25;3;Pedal
1975;Herning, Hedeager Kirke ;Carsten Lund;;19;2;Pedal
1949;Herning Kirke ;Marcussen & Søn;Orgelbyggeriet. (Grundskitsen skyldes Poul-Gerhard Andersen).;33;3;Pedal
1970;Herning Kirke;Poul-Gerhard Andersen's Orgelbyggeri;;4;1;(Intet Pedal)
1965;Herning, Sct. Johannes Kirke ;Frederiksborg Orgelbyggeri;Søren Jensen, Herning [jfr. dog noter].;34;3;Pedal
1957;Herning Valgmenighedskirke ;Marcussen & Søn;;12;2;Pedal
1965;Hyllested Kirke ;Frederiksborg Orgelbyggeri;;8;1;Pedal
1992;Ildved Kirke ;Bruno Christensen & Sønner;Tegnestuen i Hadsten v/ Gert Madsen. [Medd. fra orgelbyggeriet 1993].;8;2;Pedal
1958;København, Esajas Kirke;Th. Frobenius & Co;;19;2;Pedal
1992;Ordrup Kirke ;Carsten Lund;Rolf Graae.;33;3;Pedal
1992;Roskilde, Gammel Vor Frue Kirke ;Carsten Lund;Per Axelsens tegnestue, Roskilde.;17;2;Pedal
1966;Svenstrup Kirke ;Frederiksborg Orgelbyggeri;;5;1;Anhangspedal
1981;Svenstrup Kirke ;Th. Frobenius & Sønner;;12;2;Pedal
1965;Søby Kirke ;I. Starup & Søn;;4;1;Anhangspedal
1954;Toftlund Kirke ;Marcussen & Søn;;16;2;Pedal
1936;Udby Kirke ;I. Starup & Søn;;5;1;Anhangspedal
1875;Vemmetofte Kirke ;Knud Olsen;;6;1;(Intet Pedal)
1960;Vordingborg Kirke ;Marcussen & Søn;Poul-Gerhard Andersen [meddelt af orgelbyggeriet 1977].;26;3;Pedal
1976;Hjulby Kirke ;Bruno Christensen & Sønner;Tegnet af orgelbyggeriet. [Iflg. medd. fra firmaet].;5;1;Pedal
1998;Gestelev Kirke ;A.E. Lang's Eftf;;7;2;Pedal
1865;Christiansfeld, Brødremenighedens Kirke ;Marcussen & Søn;;21;2;Pedal
1925 (?);Fredericia, Reformert Kirke ;Th. Frobenius & Co;J.D. Herholdt? [se noter]. NB: facaden er fra 1852.;9;2;Pedal
1963;Frederikshavn Metodistkirke ;I. Starup & Søn;;9;2;Pedal
1977;Beldringe Kirke ;Klaus Becker;;10;2;Pedal
1963;Gundersted Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;6;1;Pedal
1961;Kongens Lyngby Baptistkirke ;I. Starup & Søn;;18;2;Pedal
1951;Kongens Lyngby, Sct. Knud Lavards Kirke ;I. Starup & Søn;;24;2;Pedal
1958;København, Kong Håkons Kirke;Th. Frobenius & Co;;16;2;Pedal
1878;København, Reformert Kirke;Daniel Köhne;;20;2;Pedal
1935;København, Sct. Ansgars Kirke;I. Starup & Søn;1935: ???. 1995: Vilhelm Wohlert.;20;2;Pedal
1972;Nyborg, Stella Maris Kirke ;August Laukhuff;;4;1;Anhangspedal
1921;Odense, Sct. Albani Kirke ;Gebr. Rieger;;19;2;Pedal
1963;Sønderborg, Sct. Pauls Kirke ;Th. Frobenius & Co;NB: Orglet er bygget magen til orglet i U\Sverige, Göteborg Danske Kirke. [Iflg. Dagbladet, Ringsted 4. oktober 1969 (udklip vedlagt)].;4;1;(Intet Pedal)
1991;Tølløse Baptistkirke ;P. Bruhn & Søn;;15;2;Pedal
1950 (?);Tåstrup, Sct. Pauls Kirke ;Anonym Mester;;15;2;Pedal
